question,query,db_name,query_category,instructions,db_type,generated_query,reason,error_msg,exact_match,correct,error_query_gen,error_db_exec,timeout,latency_seconds,tokens_used,k_shot_prompt,glossary,table_metadata_string,table_aliases,prev_invalid_sql,prev_error_msg,question_0,query_0,question_1,query_1,cot_instructions,cot_pregen,cost_in_cents
What are the titles of all publications ordered alphabetically?,SELECT DISTINCT publication.title FROM publication ORDER BY publication.title ASC NULLS LAST;,academic,order_by,,postgres,"SELECT title
FROM publication
ORDER BY title ASC;",,,0,1,0,0,0,3.52,n/a,,,,"Use the following table aliases when referencing tables in the query:
-- cite AS c
-- author AS a
-- domain AS d
-- writes AS w
-- journal AS j
-- keyword AS k
-- conference AS co
-- publication AS p
-- organization AS o
-- domain_author AS da
-- domain_journal AS dj
-- domain_keyword AS dk
-- domain_conference AS dc
-- domain_publication AS dp
-- publication_keyword AS pk
",,,,,,,,False,n/a
What are the top 3 publications with the highest number of citations?,"SELECT {publication.title, publication.pid}, publication.citation_num FROM publication ORDER BY publication.citation_num DESC LIMIT 3;",academic,order_by,,postgres,"SELECT p.pid,
       p.title,
       p.citation_num
FROM publication p
ORDER BY p.citation_num DESC
LIMIT 3;",,,0,1,0,0,0,3.82,n/a,,,,"Use the following table aliases when referencing tables in the query:
-- cite AS c
-- author AS a
-- domain AS d
-- writes AS w
-- journal AS j
-- keyword AS k
-- conference AS co
-- publication AS p
-- organization AS o
-- domain_author AS da
-- domain_journal AS dj
-- domain_keyword AS dk
-- domain_conference AS dc
-- domain_publication AS dp
-- publication_keyword AS pk
",,,,,,,,False,n/a
"What are the top 3 titles of the publications that have the highest number of references cited, ordered by the number of references cited in descending order?",SELECT publication.title FROM publication ORDER BY publication.reference_num DESC LIMIT 3;,academic,order_by,,postgres,"SELECT p.title
FROM publication AS p
JOIN cite AS c ON p.pid = c.citing
GROUP BY p.title
ORDER BY COUNT(c.cited) DESC
LIMIT 3;",,,0,1,0,0,0,4.00,n/a,,,,"Use the following table aliases when referencing tables in the query:
-- cite AS c
-- author AS a
-- domain AS d
-- writes AS w
-- journal AS j
-- keyword AS k
-- conference AS co
-- publication AS p
-- organization AS o
-- domain_author AS da
-- domain_journal AS dj
-- domain_keyword AS dk
-- domain_conference AS dc
-- domain_publication AS dp
-- publication_keyword AS pk
",,,,,,,,False,n/a
What are the top 5 domains with the highest number of authors associated with them?,"SELECT {d.name, d.did}, COUNT(DISTINCT a.aid) AS author_count FROM author a JOIN domain_author da ON a.aid = da.aid JOIN domain d ON da.did = d.did GROUP BY {} ORDER BY author_count DESC LIMIT 5;SELECT {d.name, d.did}, COUNT(da.aid) AS author_count FROM DOMAIN AS d JOIN domain_author AS da ON d.did = da.did GROUP BY {} ORDER BY author_count DESC LIMIT 5;",academic,order_by,,postgres,"SELECT d.name AS DOMAIN,
       COUNT(a.aid) AS author_count
FROM domain_author da
JOIN DOMAIN d ON da.did = d.did
JOIN author a ON da.aid = a.aid
GROUP BY d.did
ORDER BY author_count DESC
LIMIT 5;",,"EXECUTION ERROR: (psycopg2.errors.GroupingError) column ""d.name"" must appear in the GROUP BY clause or be used in an aggregate function
LINE 1: SELECT d.name AS DOMAIN,
               ^

[SQL: SELECT d.name AS DOMAIN,
       COUNT(a.aid) AS author_count
FROM domain_author da
JOIN DOMAIN d ON da.did = d.did
JOIN author a ON da.aid = a.aid
GROUP BY d.did
ORDER BY author_count DESC
LIMIT 5;]
(Background on this error at: https://sqlalche.me/e/20/f405)",0,0,0,1,0,4.27,n/a,,,,"Use the following table aliases when referencing tables in the query:
-- cite AS c
-- author AS a
-- domain AS d
-- writes AS w
-- journal AS j
-- keyword AS k
-- conference AS co
-- publication AS p
-- organization AS o
-- domain_author AS da
-- domain_journal AS dj
-- domain_keyword AS dk
-- domain_conference AS dc
-- domain_publication AS dp
-- publication_keyword AS pk
",,,,,,,,False,n/a
What is the title of the publication that has received the highest number of citations?,SELECT publication.title FROM publication ORDER BY publication.citation_num DESC NULLS LAST LIMIT 1;,academic,order_by,,postgres,"SELECT p.title
FROM publication p
LEFT JOIN cite c ON p.pid = c.cited
GROUP BY p.pid
ORDER BY SUM(c.citing) DESC
LIMIT 1;",,"EXECUTION ERROR: (psycopg2.errors.GroupingError) column ""p.title"" must appear in the GROUP BY clause or be used in an aggregate function
LINE 1: SELECT p.title
               ^

[SQL: SELECT p.title
FROM publication p
LEFT JOIN cite c ON p.pid = c.cited
GROUP BY p.pid
ORDER BY SUM(c.citing) DESC
LIMIT 1;]
(Background on this error at: https://sqlalche.me/e/20/f405)",0,0,0,1,0,3.96,n/a,,,,"Use the following table aliases when referencing tables in the query:
-- cite AS c
-- author AS a
-- domain AS d
-- writes AS w
-- journal AS j
-- keyword AS k
-- conference AS co
-- publication AS p
-- organization AS o
-- domain_author AS da
-- domain_journal AS dj
-- domain_keyword AS dk
-- domain_conference AS dc
-- domain_publication AS dp
-- publication_keyword AS pk
",,,,,,,,False,n/a
How does the ratio of authors to organizations differ by continent?,"SELECT organization.continent, COUNT(DISTINCT author.aid)::float / NULLIF(COUNT(DISTINCT organization.oid), 0) AS ratio FROM organization LEFT JOIN author ON author.oid = organization.oid GROUP BY organization.continent ORDER BY ratio DESC NULLS LAST;WITH author_counts AS (SELECT o.continent, COUNT(DISTINCT a.aid) AS author_count FROM author AS a JOIN organization AS o ON a.oid = o.oid GROUP BY o.continent), organization_counts AS (SELECT o.continent, COUNT(DISTINCT o.oid) AS organization_count FROM organization AS o GROUP BY o.continent) SELECT ac.continent, CAST(ac.author_count AS FLOAT) / NULLIF(oc.organization_count, 0) AS author_to_organization_ratio FROM author_counts AS ac JOIN organization_counts AS oc ON ac.continent = oc.continent ORDER BY author_to_organization_ratio DESC;",academic,ratio,,postgres,"SELECT o.continent,
       COUNT(DISTINCT a.aid) AS author_count,
       COUNT(DISTINCT o.oid) AS organization_count,
       (COUNT(DISTINCT a.aid)::FLOAT / COUNT(DISTINCT o.oid)) AS ratio
FROM author a
JOIN
ORGANIZATION o ON a.oid = o.oid
GROUP BY o.continent
ORDER BY ratio DESC;",,INCORRECT RESULTS,0,0,0,0,0,5.88,n/a,,,,"Use the following table aliases when referencing tables in the query:
-- cite AS c
-- author AS a
-- domain AS d
-- writes AS w
-- journal AS j
-- keyword AS k
-- conference AS co
-- publication AS p
-- organization AS o
-- domain_author AS da
-- domain_journal AS dj
-- domain_keyword AS dk
-- domain_conference AS dc
-- domain_publication AS dp
-- publication_keyword AS pk
",,,,,,,,False,n/a
How does the ratio of publications to journals change over the years? Return the annual numbers of publications and journals as well.,"SELECT publication.year, COUNT(DISTINCT publication.pid) AS num_publications, COUNT(DISTINCT publication.jid) AS num_journals, CAST(COUNT(DISTINCT publication.pid) AS FLOAT) / NULLIF(COUNT(DISTINCT publication.jid), 0) AS ratio FROM publication GROUP BY publication.year ORDER BY publication.year;",academic,ratio,,postgres,"SELECT p.year,
       COUNT(DISTINCT p.pid) AS publications,
       COUNT(DISTINCT j.jid) AS journals,
       (COUNT(DISTINCT p.pid)::FLOAT / COUNT(DISTINCT j.jid)) AS ratio
FROM publication p
LEFT JOIN domain_publication dp ON p.pid = dp.pid
LEFT JOIN domain_journal dj ON dp.did = dj.did
JOIN journal j ON dj.jid = j.jid
GROUP BY p.year
ORDER BY p.year;",,INCORRECT RESULTS,0,0,0,0,0,5.96,n/a,,,,"Use the following table aliases when referencing tables in the query:
-- cite AS c
-- author AS a
-- domain AS d
-- writes AS w
-- journal AS j
-- keyword AS k
-- conference AS co
-- publication AS p
-- organization AS o
-- domain_author AS da
-- domain_journal AS dj
-- domain_keyword AS dk
-- domain_conference AS dc
-- domain_publication AS dp
-- publication_keyword AS pk
",,,,,,,,False,n/a
What is the ratio of publications presented in conferences to publications published in journals?,"SELECT CAST(COUNT(DISTINCT CASE WHEN cid IS NOT NULL THEN pid END) AS FLOAT) / NULLIF(COUNT(DISTINCT CASE WHEN jid IS NOT NULL THEN pid END), 0) AS ratio FROM publication;",academic,ratio,,postgres,"SELECT
  (SELECT COUNT(*)
   FROM publication
   WHERE cid IS NOT NULL) AS conference_publications,

  (SELECT COUNT(*)
   FROM publication
   WHERE jid IS NOT NULL) AS journal_publications,

  (SELECT COUNT(*)
   FROM publication
   WHERE cid IS NOT NULL)::FLOAT /
  (SELECT COUNT(*)
   FROM publication
   WHERE jid IS NOT NULL)::FLOAT AS ratio
FROM dual;",,"EXECUTION ERROR: (psycopg2.errors.UndefinedTable) relation ""dual"" does not exist
LINE 16: FROM dual;
              ^

[SQL: SELECT
  (SELECT COUNT(*)
   FROM publication
   WHERE cid IS NOT NULL) AS conference_publications,

  (SELECT COUNT(*)
   FROM publication
   WHERE jid IS NOT NULL) AS journal_publications,

  (SELECT COUNT(*)
   FROM publication
   WHERE cid IS NOT NULL)::FLOAT /
  (SELECT COUNT(*)
   FROM publication
   WHERE jid IS NOT NULL)::FLOAT AS ratio
FROM dual;]
(Background on this error at: https://sqlalche.me/e/20/f405)",0,0,0,1,0,5.72,n/a,,,,"Use the following table aliases when referencing tables in the query:
-- cite AS c
-- author AS a
-- domain AS d
-- writes AS w
-- journal AS j
-- keyword AS k
-- conference AS co
-- publication AS p
-- organization AS o
-- domain_author AS da
-- domain_journal AS dj
-- domain_keyword AS dk
-- domain_conference AS dc
-- domain_publication AS dp
-- publication_keyword AS pk
",,,,,,,,False,n/a
What is the ratio of publications to authors in the database?,"SELECT CAST(COUNT(DISTINCT publication.pid) AS FLOAT) / NULLIF(COUNT(DISTINCT author.aid), 0) AS publication_to_author_ratio FROM publication, author;",academic,ratio,,postgres,"SELECT (COUNT(DISTINCT pid) OVER())::FLOAT / (COUNT(DISTINCT aid) OVER()) AS publication_to_author_ratio
FROM author;",,"EXECUTION ERROR: (psycopg2.errors.UndefinedColumn) column ""pid"" does not exist
LINE 1: SELECT (COUNT(DISTINCT pid) OVER())::FLOAT / (COUNT(DISTINCT...
                               ^
HINT:  Perhaps you meant to reference the column ""author.aid"" or the column ""author.oid"".

[SQL: SELECT (COUNT(DISTINCT pid) OVER())::FLOAT / (COUNT(DISTINCT aid) OVER()) AS publication_to_author_ratio
FROM author;]
(Background on this error at: https://sqlalche.me/e/20/f405)",0,0,0,1,0,5.23,n/a,,,,"Use the following table aliases when referencing tables in the query:
-- cite AS c
-- author AS a
-- domain AS d
-- writes AS w
-- journal AS j
-- keyword AS k
-- conference AS co
-- publication AS p
-- organization AS o
-- domain_author AS da
-- domain_journal AS dj
-- domain_keyword AS dk
-- domain_conference AS dc
-- domain_publication AS dp
-- publication_keyword AS pk
",,,,,,,,False,n/a
What is the ratio of the total number of publications to the total number of keywords within each domain ID? Show all domain IDs.,"SELECT domain_publication.did, CAST(COUNT(DISTINCT domain_publication.pid) AS FLOAT) / NULLIF(COUNT(DISTINCT domain_keyword.kid), 0) AS publication_to_keyword_ratio FROM domain_publication LEFT JOIN domain_keyword ON domain_publication.did = domain_keyword.did GROUP BY domain_publication.did ORDER BY publication_to_keyword_ratio DESC NULLS LAST;SELECT domain_publication.did, CAST(COUNT(DISTINCT domain_publication.pid) AS FLOAT) / NULLIF(COUNT(DISTINCT domain_keyword.kid), 0) AS publication_to_keyword_ratio FROM domain_keyword LEFT JOIN domain_publication ON domain_publication.did = domain_keyword.did GROUP BY domain_publication.did ORDER BY publication_to_keyword_ratio DESC NULLS LAST;SELECT d.did, COALESCE(CAST(COUNT(DISTINCT dp.pid) AS FLOAT) / NULLIF(COUNT(DISTINCT dk.kid), 0), 0) AS publication_to_keyword_ratio FROM domain d LEFT JOIN domain_publication dp ON d.did = dp.did LEFT JOIN domain_keyword dk ON d.did = dk.did GROUP BY d.did ORDER BY publication_to_keyword_ratio DESC NULLS LAST;",academic,ratio,,postgres,"SELECT d.did,
       COUNT(DISTINCT dp.pid) AS total_publications,
       COUNT(DISTINCT pk.kid) AS total_keywords,
       (COUNT(DISTINCT dp.pid)::FLOAT / COUNT(DISTINCT pk.kid)) AS ratio
FROM DOMAIN d
LEFT JOIN domain_publication dp ON d.did = dp.did
LEFT JOIN publication_keyword pk ON dp.pid = pk.pid
GROUP BY d.did;",,"EXECUTION ERROR: (psycopg2.errors.DivisionByZero) division by zero

[SQL: SELECT d.did,
       COUNT(DISTINCT dp.pid) AS total_publications,
       COUNT(DISTINCT pk.kid) AS total_keywords,
       (COUNT(DISTINCT dp.pid)::FLOAT / COUNT(DISTINCT pk.kid)) AS ratio
FROM DOMAIN d
LEFT JOIN domain_publication dp ON d.did = dp.did
LEFT JOIN publication_keyword pk ON dp.pid = pk.pid
GROUP BY d.did;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",0,0,0,1,0,7.04,n/a,,,,"Use the following table aliases when referencing tables in the query:
-- cite AS c
-- author AS a
-- domain AS d
-- writes AS w
-- journal AS j
-- keyword AS k
-- conference AS co
-- publication AS p
-- organization AS o
-- domain_author AS da
-- domain_journal AS dj
-- domain_keyword AS dk
-- domain_conference AS dc
-- domain_publication AS dp
-- publication_keyword AS pk
",,,,,,,,False,n/a
"How many publications were presented at each conference, ordered by the number of publications in descending order? Give the names of the conferences and their corresponding number of publications.","SELECT conference.name, COUNT(publication.pid) AS num_publications FROM publication JOIN conference ON publication.cid=conference.cid GROUP BY conference.name, conference.cid ORDER BY num_publications DESC NULLS LAST;",academic,table_join,,postgres,"SELECT c.name AS conference_name,
       COUNT(p.pid) AS publication_count
FROM conference c
JOIN publication p ON c.cid = p.cid
GROUP BY c.name
ORDER BY publication_count DESC;",,,0,1,0,0,0,4.02,n/a,,,,"Use the following table aliases when referencing tables in the query:
-- cite AS c
-- author AS a
-- domain AS d
-- writes AS w
-- journal AS j
-- keyword AS k
-- conference AS co
-- publication AS p
-- organization AS o
-- domain_author AS da
-- domain_journal AS dj
-- domain_keyword AS dk
-- domain_conference AS dc
-- domain_publication AS dp
-- publication_keyword AS pk
",,,,,,,,False,n/a
"How many publications were published in journals whose names start with the letter ""J""?",SELECT count(DISTINCT publication.pid) FROM publication JOIN journal ON publication.jid = journal.jid WHERE journal.name ilike 'J%';,academic,table_join,,postgres,"SELECT COUNT(*)
FROM publication p
INNER JOIN journal j ON p.jid = j.jid
WHERE j.name LIKE 'J%';",,,0,1,0,0,0,3.81,n/a,,,,"Use the following table aliases when referencing tables in the query:
-- cite AS c
-- author AS a
-- domain AS d
-- writes AS w
-- journal AS j
-- keyword AS k
-- conference AS co
-- publication AS p
-- organization AS o
-- domain_author AS da
-- domain_journal AS dj
-- domain_keyword AS dk
-- domain_conference AS dc
-- domain_publication AS dp
-- publication_keyword AS pk
",,,,,,,,False,n/a
"What is the total number of publications in each journal, ordered by the number of publications in descending order?","SELECT {journal.name, journal.jid}, COUNT(publication.pid) AS total_publications FROM publication JOIN journal ON publication.jid=journal.jid GROUP BY {} ORDER BY total_publications DESC NULLS LAST;SELECT {journal.name, journal.jid}, COUNT(publication.pid) AS total_publications FROM journal LEFT JOIN publication ON journal.jid=publication.jid GROUP BY {} ORDER BY total_publications DESC NULLS LAST;",academic,table_join,,postgres,"SELECT j.name AS journal_name,
       COUNT(p.pid) AS publication_count
FROM journal j
JOIN domain_journal dj ON j.jid = dj.jid
JOIN domain_publication dp ON dj.did = dp.did
JOIN publication p ON dp.pid = p.pid
GROUP BY j.name
ORDER BY publication_count DESC;",,INCORRECT RESULTS,0,0,0,0,0,4.43,n/a,,,,"Use the following table aliases when referencing tables in the query:
-- cite AS c
-- author AS a
-- domain AS d
-- writes AS w
-- journal AS j
-- keyword AS k
-- conference AS co
-- publication AS p
-- organization AS o
-- domain_author AS da
-- domain_journal AS dj
-- domain_keyword AS dk
-- domain_conference AS dc
-- domain_publication AS dp
-- publication_keyword AS pk
",,,,,,,,False,n/a
What is the total number of publications presented in each conference?,"SELECT {conference.name, conference.cid}, COUNT(publication.pid) AS total_publications FROM publication JOIN conference ON publication.cid = conference.cid GROUP BY {} ORDER BY total_publications DESC;",academic,table_join,,postgres,"SELECT c.name AS conference_name,
       COUNT(p.pid) AS publication_count
FROM conference c
JOIN publication p ON c.cid = p.cid
GROUP BY c.cid;",,"EXECUTION ERROR: (psycopg2.errors.GroupingError) column ""c.name"" must appear in the GROUP BY clause or be used in an aggregate function
LINE 1: SELECT c.name AS conference_name,
               ^

[SQL: SELECT c.name AS conference_name,
       COUNT(p.pid) AS publication_count
FROM conference c
JOIN publication p ON c.cid = p.cid
GROUP BY c.cid;]
(Background on this error at: https://sqlalche.me/e/20/f405)",0,0,0,1,0,3.94,n/a,,,,"Use the following table aliases when referencing tables in the query:
-- cite AS c
-- author AS a
-- domain AS d
-- writes AS w
-- journal AS j
-- keyword AS k
-- conference AS co
-- publication AS p
-- organization AS o
-- domain_author AS da
-- domain_journal AS dj
-- domain_keyword AS dk
-- domain_conference AS dc
-- domain_publication AS dp
-- publication_keyword AS pk
",,,,,,,,False,n/a
